V1,V8,V9,condition,desc,support,query_1,query_2,query_3,query_4,query_5,query_1_quant,query_2_quant,query_3_quant,query_4_quant,query_5_quant,word_homeless,word_welfare,word_needy,word_lazy,word_filler2,word_filler5,word_filler6,word_charity,word_poor,word_filler12,word_burden,word_aid,word_filler11,word_deserve,stigmaO_1,stigmaO_2,stigmaO_3,stigmaO_4,stigmaO_5,attncheck,age,gender,income,edu,race,polit,polit_1,polit_2
R_3iyxyhEOFTj1NjQ,6/20/17 10:29,6/20/17 10:37,security,social security for all,6,better lives,more money to stimulate economy,,,,1,1,,,,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUP,BAKE,CHARLES,POOR,PHONE,BURIAL,AND,SING,DESERVE,7,5,5,7,6,6,35,Male,"$20,000 to $24,999",4-year college degree,White,Independent,In the middle,In the middle
R_25ttAX1JloGzRz8,6/20/17 10:32,6/20/17 10:37,security,social security for all,6,allows those less fortunate to have a little assistance,helps students,,,,1,1,,,,HOMELAND,WELCOME,NERDY,COZY,PLAYA,SUM,BAKE,CHARIOT,DOOR,PHONE,BURIED,AND,SONG,OBSERVE,4,4,4,5,4,1,34,Male,"$175,000 or more",4-year college degree,White,Republican,In the middle,In the middle
R_XpNS3R7o0dBfY4N,6/20/17 10:29,6/20/17 10:37,security,social security for all,7,Ending Poverty,Feeding hungry children,Reducing crime due to desperation,Cost on Government,Create laziness in society,1,1,1,2,2,HOMEMADE,WELCOME,NEEDY,LAZY,PLACE,SUN,BIKE,CHARGED,ODOR,PHOTO,BURDEN,AID,SING,RESERVE,7,2,5,6,5,2,26,Male,"$35,000 to $39,999",4-year college degree,White,Democrat,Strongly liberal,Slightly       liberal
R_122WvOBieFIaqp5,6/20/17 10:31,6/20/17 10:37,security,social security for all,7,It will be safer,it will be equal,people will be happier,there will be less uncertainty,It is good,1,1,1,1,1,HOMELESS,WELFARE,NEEDY,LAZY,PLAID,SUN,BAKE,CHARITY,IGOR,PHOTO,BURDEN,AID,SING,DESERVE,7,1,1,7,7,2,35,Male,"$12,500 to $14,999",Masters level degree (for example M.S. or M.A.),White,Democrat,Strongly liberal,Strongly liberal
R_3ReF08xcPQsYL5w,6/20/17 10:29,6/20/17 10:38,security,social security for all,1,It's too expensive,It's unsustainable,Not everyone needs help,It encourages laziness,Why pay people not to work?,2,2,2,2,2,homeless,welcome,needy,lazy,plaid,sun,bake,charter,Door,PHONE,BURDEN,AID,SONG,DESERVE,6,5,7,5,7,2,50,Male,"$60,000 to $74,999",Masters level degree (for example M.S. or M.A.),White,Republican,Moderately conservative,Strongly conservative
R_24pC46OFTRPUeiQ,6/20/17 10:29,6/20/17 10:38,security,social security for all,5,Seems impossible to fund,Wonderful to do,What would we lose,How is it kept fair?,Who runs it,2,1,2,2,2,HOMESITE,WELFARE,NEEDY,COZY,PLAYS,SUN,BIKE,CHARTER,POOR,PHONE,BURGER,AND,SING,RESERVE,6,2,2,6,5,2,34,Male,"$60,000 to $74,999",4-year college degree,White,Independent,Slightly       liberal,In the middle
R_XoWztoNXaxLMzeh,6/20/17 10:29,6/20/17 10:38,freedom,financial freedom,6,I wonder how much money,What services would it cover,How far would the money go,I think this could be really beneficial,I'm not sure it'll ever happen on a national level,1,1,1,1,1,homeless,welfare,needy,cozy,place,sun,bike,charted,poor,PHOTO,BURSUR,AID,SONG,RESERVE,7,1,1,7,1,2,25,Female,"$15,000 to $19,999",Masters level degree (for example M.S. or M.A.),White,Other,Strongly liberal,Strongly liberal
R_1rCANckztaclZPH,6/20/17 10:30,6/20/17 10:38,freedom,financial freedom,6,I believe this policy helps everyone.,Being able to cover basic needs is the most important.,We need to know where government money is going.,"Everyone is different in parts of the country in their financial status, so it's good to be streamlined.",There has been precedent in Alaska of it succeeding.,1,1,1,1,1,HOMEWORK,WELCOME,NEEDY,LAZY,PLATE,SUE,BAKE,CHARITY,POOR,PHOTO,BURIED,AID,SING,DESERVE,6,3,2,5,3,2,23,Male,"$150,000 to $174,999",4-year college degree,Asian,Democrat,Slightly       liberal,Slightly       liberal
R_1jUQnxwXVCg3knT,6/20/17 10:29,6/20/17 10:38,control,basic income,6,This is like a reverse of the poll tax,There still needs to be more done to help the poor,I'm glad there is no means testing for this program,,,1,2,1,,,HOMELAND,WELFARE,NOODY,HAZY,PLATO,SUM,BAKE,CHARRED,BOOR,PHONE,BURNED,AID,SONG,DESERVE,7,1,1,7,1,2,27,Male,"$35,000 to $39,999",Some college (no degree),White,Other,Strongly liberal,Strongly liberal
R_1FkyZfW6WqaoJO0,6/20/17 10:30,6/20/17 10:38,security,social security for all,6,Government should take care of its citizens,There should be things like this to help keep citizens financially secure,,,,1,1,,,,HOMESICK,WELCOME,NERDY,LAZY,PLAZA,SUN,BAKE,CHARGER,ODOR,PHONY,BURROS,AND,SONG,UPSERVE,7,2,1,7,5,2,25,Female,"$10,000 to $12,499",4-year college degree,White,Independent,Strongly liberal,Strongly liberal
R_3r0yEJUk2zGDvbW,6/20/17 10:29,6/20/17 10:38,security,social security for all,7,no more poverty,more freedom,no more hunger,less crime,less inequality,1,1,1,1,1,HOMESTAY,WELCOME,NEEDY,HAZY,PLAZA,SUN,BARK,CHARRED,MOOR,PHOTO,BURKAS,AID,SING,RESERVE,7,1,1,7,4,2,29,Male,"$12,500 to $14,999",Masters level degree (for example M.S. or M.A.),White,Other,Strongly liberal,Strongly liberal
R_1oHJbRwTrn7wQCZ,6/20/17 10:29,6/20/17 10:38,freedom,financial freedom,5,it's still welfare,though i guess some people can't help being on welfare,it will potentially help people perenially on welfare get their shit together,"it still has the potential for abuse, like our current welfare system",imo welfare leeches should simply be purged,2,1,1,2,2,HOMEMADE,WELFARE,NEEDY,LAZY,PLAZA,SUN,BIKE,CHARTER,POOR,PHONE,BURDEN,AID,SONG,DESERVE,2,7,7,5,7,2,26,Female,"$35,000 to $39,999",High school degree,Black,Republican,Moderately conservative,Slightly       liberal
R_3hsYrKMgWhQu2d2,6/20/17 10:29,6/20/17 10:38,freedom,financial freedom,7,allows freedom of assitance,allows people in bad positions to help themselves,"may encourage more people to seek help if they can do it ""their own way""",provides assitance to some people who don't need it,gives more power to the people,1,1,1,2,1,homeless,welcome,nerdy,lazy,place,sud,bike,charred,door,phone,burble,and,sing,deserve,7,2,1,7,1,2,32,Male,"$20,000 to $24,999",Some college (no degree),White,Independent,In the middle,In the middle
R_3pm4XLeLGwlOa5k,6/20/17 10:30,6/20/17 10:38,freedom,financial freedom,2,The money might be wasted on things that people don't actually need.,Programs like food stamps and Medicaid assure that money is spent wisely,It would be dangerous to get rid of safety net programs,"A basic income, if created, should not replace safety net programs",Individuals at the bottom are not savvy enough to use this money wisely.,2,2,2,2,2,HOMELAND,WELCOME,NEEDY,LAZY,PLANE,SUN,BAKE,CHARITY,POOR,PHONE,BURIED,AID,SING,RESERVE,2,6,6,5,2,2,32,Male,"$100,000 to $124,999",4-year college degree,White,Democrat,Strongly liberal,In the middle
R_1FPwedYN8FkSSMt,6/20/17 10:29,6/20/17 10:38,freedom,financial freedom,5,Face Value Support,Legislative oversight needed,program administration oversight needed,it doesn't work for the VA and this would be nationwide,"programming, HOW?",1,1,1,2,2,homemade,welcome,needy,lazy,plank,sun,bake,charity,door,phone,burger,and,sing,deserve,6,4,3,4,1,2,33,Female,"$100,000 to $124,999",Masters level degree (for example M.S. or M.A.),White,Democrat,Strongly liberal,Strongly liberal
R_3k5m6EdG6hBL4ff,6/20/17 10:32,6/20/17 10:38,freedom,financial freedom,4,people should already take care of themselves,government shouldn't be overly involved in people's lives,,,,1,1,,,,homeless,welcome,needy,lazy,place,sun,bake,charter,door,phone,burned,aid,sing,reserve,3,6,7,3,6,2,25,Female,"$75,000 to $84,999",High school degree,White,Independent,In the middle,In the middle
R_1oo54CXRDWoIyt8,6/20/17 10:29,6/20/17 10:38,freedom,financial freedom,7,Automation,Helping people in poverty,Separating Greed from our other ideals as a species,,,1,1,1,,,Homeless,Wellnes,Needy,Hazy,Place,Sup,Bike,Charlie,Door,PHONE,BURIED,AND,SONG,DESERVE,7,1,1,7,7,2,30,Male,"$20,000 to $24,999",High school degree,White,Democrat,Moderately liberal,Moderately liberal
R_2dsfKuPlDIiXoGX,6/20/17 10:30,6/20/17 10:39,security,social security for all,1,not the role of government,need to be self reliant,puts undo burden on tax payers,is not fiscally responsible,promotes laziness,2,2,2,2,2,HOMELESS,WELNESS,NEEDY,LAZY,PLANE,SUN,BIKE,CHARGER,DOOR,PHOTO,BURGER,ADD,SONG,RESERVE,1,7,7,1,7,2,39,Female,"$40,000 to $49,999",Some college (no degree),White,Republican,Strongly conservative,Strongly conservative
R_4JflkoXi0X66cud,6/20/17 10:35,6/20/17 10:39,control,basic income,6,,,,,,,,,,,homering,welcome,needt,lazy,plate,sub,bake,charcol,door,photo,burdon,and,song,reserve,3,2,3,4,4,2,26,Female,"$20,000 to $24,999",Some college (no degree),White,Republican,Moderately liberal,In the middle
R_25HNx7rRpALutsG,6/20/17 10:32,6/20/17 10:39,security,social security for all,5,I don't think it's useful to provide this to the gainfully employed/upper class,"I do think this is wise for the poor, and necessary",I think streamlining everything will help a lot because paperwork dissuades people,"I think this is great because it eradicates unemployment, which is a bear","I do think it's easier to abuse this, but on the other hand makes it easier to take bad jobs because you can still make ends meet",2,1,1,1,1,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUM,BIKE,CHARADE,DOOR,PHONE,BURDEN,AND,SING,DESERVE,6,3,2,7,2,2,33,Female,"$15,000 to $19,999",4-year college degree,White,Democrat,Strongly liberal,Strongly liberal
R_1gzuvkhFL2n2UK8,6/20/17 10:29,6/20/17 10:39,freedom,financial freedom,7,People would abuse the money,It could help lift people  out of poverty.,,,,2,1,,,,HOMERUNS,WELCOME,NEEDY,LAZY,PLANK,SUN,BIKE,CHARISH,POOR,PHONE,BURNED,AND,SONG,RESERVE,6,6,6,7,7,5,22,Male,"$10,000 to $12,499",2-year college degree,Hispanic,Republican,Strongly conservative,Strongly conservative
R_1F3ZSIbMWtyosSk,6/20/17 10:31,6/20/17 10:39,security,social security for all,6,Every person will be taken care of.,Other people's hard work will have to pay for it.,,,,1,2,,,,homeland,welcome,needy,lazy,plane,sue,bike,charity,door,PHONE,BURGER,AID,SING,DESERVE,6,5,5,7,6,2,21,Female,"$35,000 to $39,999",Some college (no degree),White,Other,Moderately liberal,Slightly conservative
R_33vRxsbLfOLLG3L,6/20/17 10:30,6/20/17 10:39,control,basic income,1,i am against high taxation.,giving money to those that don't work is morally wrong.,taking money from those that work to give to those that don't is morally wrong.,depending on the government for an income to survive is morally wrong and stupid.,read the history of jamestown. everyone must work and keep the income they earned or no work will be valued or valuable.,2,2,2,2,2,homework,welcome,needy,lazy,plate,sum,bake,charged,poor,phone,burden,and,song,reserve,1,7,7,1,7,2,39,Female,"$125,000 to $149,999",Some college (no degree),White,Republican,Strongly conservative,Strongly conservative
R_3nHOMj7nCJYRTH9,6/20/17 10:30,6/20/17 10:39,freedom,financial freedom,7,More automation leads to less unskilled positions,Allows us to see where our citizens want their taxes to go,,,,1,1,,,,homebody,welcome,nerdy,lazy,plain,sun,bake,charred,door,photo,buried,aid,sing,observe,6,2,1,7,7,2,36,Female,"$40,000 to $49,999",Some college (no degree),White,Democrat,Strongly liberal,Strongly liberal
R_cC8jazNcEvBFSq5,6/20/17 10:30,6/20/17 10:39,control,basic income,5,less poverty,more spending,strengthen the economy, make others happy,lower crime rate,1,1,1,1,1,HOMEWORK,WELCOME,NOODY,LAZY,PLACE,SUE,BAKE,CHARITY,DOOR,PHOTO,BURGER,ADD,SING,DESERVE,5,6,6,4,5,2,24,Male,"$30,000 to $34,999","Doctorate level degree (for example PhD, MD, JDS)",White,Democrat,Moderately liberal,Slightly       liberal
R_vSmsbBIqRyQCmNb,6/20/17 10:30,6/20/17 10:39,control,basic income,2,encourages laziness,people need to learn how to work for a living,welfare does not help anyone.,everyone can and should work.,"This policy punishes those with work ethic, to have to support those who will not earn their own living.",1,1,1,1,1,HOMEWARD,WELCOME,NEEDY,LAZY,PLANT,SUB,BIKE,CHARDED,POOR,PHONE,BURGER,SND,SONG,RESERVE,2,5,7,2,7,2,33,Male,"$85,000 to $99,999",4-year college degree,White,Republican,Moderately conservative,Moderately conservative
R_VWO2iomgksTVQdP,6/20/17 10:34,6/20/17 10:39,security,social security for all,7,Helps protect all citizens,Prevents homelessness,Can reduce the burden on other tax programs like welfare and SNAP,Reduces burden on tax payers to cover health costs,Provides upward mobility for the lower class.,1,1,1,1,1,HOMELESS,WELFARE,NEEDY,LAZY,PLATE,SUN,BAKE,CHARTER,POOR,PHONE,BURDEN,AND,SING,DESERVE,7,1,1,7,5,2,26,Male,"$20,000 to $24,999",2-year college degree,White,Democrat,Strongly liberal,Strongly liberal
R_2EirFMxOpMG45FK,6/20/17 10:30,6/20/17 10:39,freedom,financial freedom,5,helping individuals achieve greater autonomy,enabling individuals to decide for themselves instead of government,streamlining many government programs to provide a single payment to all citizens,giving people a better chance of financial freedom,,1,1,1,1,,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARITY,POOR,PHONY,BURNED,AID,SING,RESERVE,6,5,2,6,1,2,43,Female,"$50,000 to $59,999",Masters level degree (for example M.S. or M.A.),White,Democrat,Strongly liberal,Strongly liberal
R_2YFBa8b5EWphtAp,6/20/17 10:29,6/20/17 10:39,security,social security for all,3,how can we afford it as a country?,who pays for this?,does this encourage people not to work?,I like the idea of protecting people from job loss ,,2,2,2,1,,HOMEBODY,WELCOME,NEEDY,LAZY,PLAZA,SUB,BIKE,CHARIOT,DOOR,PHONE,BURDEN,AND,SONG,DESERVE,5,2,5,6,2,2,38,Male,"$50,000 to $59,999",2-year college degree,White,Democrat,Moderately liberal,Slightly       liberal
R_01dr2ChK0zmbZ2V,6/20/17 10:29,6/20/17 10:39,security,social security for all,5,People who really need assistance would get it,Everyone would have some benefit,Some people may use it as an excuse not to work any harder,,,1,1,2,,,HOMELESS,WELFARE,NEEDY,LAZY,PLACE,SUB,BAKE,CHARITY,POOR,PHOTO,BURNED,AID,SONG,OBSERVE,5,5,5,5,7,2,43,Female,"$60,000 to $74,999",Masters level degree (for example M.S. or M.A.),White,Independent,In the middle,In the middle
R_22n9GWCrNFgE6Sq,6/20/17 10:35,6/20/17 10:39,freedom,financial freedom,5,gives fiscal freedom,tailors to our needs,helps my community,gives us a say,takes power back,1,1,1,1,1,hometown,welcome,needy,lazy,plane,sun,buke,charoal,door,phone,buried,add,sing,deserve,6,6,5,5,3,6,36,Male,"$150,000 to $174,999",4-year college degree,White,Democrat,Strongly liberal,Strongly liberal
R_O8yeN8HyRwZa665,6/20/17 10:29,6/20/17 10:39,control,basic income,7,Give people more freedom.,Help people out of poverty.,Boost the economy.,Happier/less stressed society.,,1,1,1,1,,homeless,welcome,nerdy,hazy,place,sue,bake,chariot,door,photo,burrow,aid,song,deserve,7,1,1,7,2,2,31,Female,"$40,000 to $49,999",Some college (no degree),White,Independent,Moderately liberal,Moderately liberal
R_2bTrplqdpZW7KL4,6/20/17 10:35,6/20/17 10:40,freedom,financial freedom,4,not interested,not beneficial ,not willing to provide employment status information,,,2,2,2,,,,welldon,noody,laZY,plant,sup,bike,charmed,coor,photo,buruie,aid,sing,deservc,5,4,4,5,5,2,24,Female,"$15,000 to $19,999",2-year college degree,Black,Democrat,Moderately liberal,Slightly       liberal
R_2fwH3CQi8b5gMUw,6/20/17 10:32,6/20/17 10:40,control,basic income,1,It takes away needed resources from the poor.,Rich people don't need extra free income.,"It's a policy that although fair sounding, is not fair to those at the bottom.",,,2,2,2,,,homework,welcome,nerdy,hazy,place,sun,bike,charter,door,photo,burlap,and,sing,reserve,2,5,1,1,1,2,38,Female,"$50,000 to $59,999",Some college (no degree),Black,Democrat,Moderately liberal,Moderately liberal
R_1PXgIGyFblAgGUT,6/20/17 10:35,6/20/17 10:40,security,social security for all,5,lazy people,I have to pay for it,people need to work,,,2,2,2,,,homeless,wellnes,needy,lazy,plate,suv,bake,charity,moor,photo,burden,aid,sing,,5,5,6,3,3,3,21,Male,"$10,000 to $12,499",Some college (no degree),White,Republican,Strongly liberal,Strongly liberal
R_2aLw6sQ8T5qgOfK,6/20/17 10:29,6/20/17 10:40,security,social security for all,7,Provides basic standard of living for all americans,Reduces homelessness,Reduces economic ruin,Reduces the number of people dying from health related financial stress,"This should be a federal, not a state, program",1,1,1,1,1,HOMELESS,WELCOME,NERDY,COZY,PLACE,SUE,BAKE,CHARRED,DOOR,PHONE,BURROW,AND,SONG,DESERVE,6,2,1,7,2,2,41,Female,"$35,000 to $39,999",2-year college degree,White,Democrat,Strongly liberal,Strongly liberal
R_spdwYGJXo9UTZSx,6/20/17 10:29,6/20/17 10:40,control,basic income,1,unjust,unfair,rampant laziness,Hard work for nothing,futile,2,2,2,2,2,homemade,welcome,nerdy,lazy,plaid,sub,bake,charity,door,phone,burger,and,sing,reserve,1,7,7,1,7,2,42,Male,"$100,000 to $124,999",Some college (no degree),White,Republican,Strongly conservative,Strongly conservative
R_2TC759YkTyMTvNp,6/20/17 10:30,6/20/17 10:40,control,basic income,5,it should eliminate poverty,it should eliminate homelessness,it would be very expensive,I'm not sure who would pay for it,it is likely to make some people very lazy,1,1,2,2,2,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARITY,POOR,PHONE,BURDEN,AND,SING,RESERVE,3,6,7,6,6,2,30,Male,"$50,000 to $59,999",2-year college degree,White,Democrat,Moderately liberal,Slightly conservative
R_10uyFMbPIcFrCZR,6/20/17 10:31,6/20/17 10:40,freedom,financial freedom,4,Raises costs for the midde and upper class,makes the service worse,,,,2,2,,,,homeless,welding,needy,lazy,plant,sun,bake,charity,moor,phone,burned,and,sang,reserve,4,5,6,6,5,2,38,Female,"$100,000 to $124,999",Some college (no degree),White,Independent,In the middle,In the middle
R_1BMmVwd68GsYFW1,6/20/17 10:32,6/20/17 10:40,security,social security for all,5,could make people lazy,gives the 'poor' more money,higher taxes likely,better financial stability for all,where do you get the money?,2,1,2,1,2,HOMELAND,WELCOME,NERDY,LAZY,PLANK,SUE,BAKE,CHARRED,POOR,PHOTO,BURIED,AND,SONG,DESERVE,6,3,5,6,5,2,31,Male,"$60,000 to $74,999",4-year college degree,White,Independent,Slightly       liberal,Slightly       liberal
R_3xZuBlq4lcFzTGh,6/20/17 10:33,6/20/17 10:40,control,basic income,1,increase laziness,decrease productivity,getting near communism,,,2,2,2,,,homeruns,welcome,needy,lazy,plays,sun,bake,charred,floo,photo,burned,and,song,reserve,1,7,7,1,2,2,30,Male,"$40,000 to $49,999",Some college (no degree),White,Republican,Moderately conservative,Slightly       liberal
R_2YRhFYHnd19fO2K,6/20/17 10:30,6/20/17 10:40,freedom,financial freedom,5,Basic needs met,Everyone gets the same amount,Doesn't weaken dollar,Class gap still exists,Might weaken labor force,1,1,1,1,2,HOMEMADE,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARITY,POOR,PHOTO,BURLAP,AND,SING,OBSERVE,3,5,5,4,5,5,30,Male,"$75,000 to $84,999",4-year college degree,White,Democrat,Moderately conservative,Moderately conservative
R_1ir5wdYtZyb7WKu,6/20/17 10:30,6/20/17 10:40,control,basic income,2,Promotes laziness.,Persons unmotivated to do jobs.,Costs too much.,,,2,2,2,,,HOMEWORK,WELCOME,NEEDY,COZY,PLACE,SUN,BAKE,CHARITY,POOR,PHOTO,BURNED,ADD,SING,OBSERVE,1,6,7,2,5,2,33,Female,"$100,000 to $124,999",4-year college degree,White,Democrat,Slightly       liberal,Slightly       liberal
R_1MKdwVl1a8s10cL,6/20/17 10:31,6/20/17 10:40,security,social security for all,5,Americans need more protection against financial shocks.,Some citizens don't need this program.,Alaska is a state that works differently than many other states.,What if rent and food prices are simply raised in response to this?,Where would the money come from?,1,2,2,2,2,HOMELESS,WELCOME,NEEDY,LAZY,PLANE,SUP,BIKE,CHARITY,DOOR,PHOTO,BURPED,ADD,SONG,DESERVE,5,5,2,7,6,2,21,Female,"$75,000 to $84,999",4-year college degree,White,Independent,Moderately liberal,Slightly       liberal
R_ZBNXZFRdlfUkOs1,6/20/17 10:29,6/20/17 10:40,security,social security for all,7,safety net,easy to manage,helpful,expensive,worthwhile,1,1,1,2,1,HOMECARE,WELFARE,NERDY,LAZY,PLAZA,SUB,BAKE,CHARRED,DOOR,PHOTO,BURROW,ADD,SONG,OBSERVE,6,2,2,7,6,2,31,Male,"$75,000 to $84,999",Some college (no degree),White,Democrat,Moderately liberal,Moderately liberal
R_3imRC2mkNqopvS3,6/20/17 10:30,6/20/17 10:41,freedom,financial freedom,7,new,helpful,equal,opportunity,great,1,1,1,1,1,HOMEMADE,WELCOME,NEEDY,LAZY,PLATE,SUP,BAKE,CHARITY,POOR,PHONE,BURIED,AND,SING,OBSERVE,6,5,4,7,4,2,23,Female,"$35,000 to $39,999",Some college (no degree),Black,Other,Slightly       liberal,In the middle
R_7PeG610VTP5ecCJ,6/20/17 10:29,6/20/17 10:41,freedom,financial freedom,5,Less bureacracy,Fair and balanced,Could encourage laziness,Many people would be angry about a loss of status,Could use tax money from things like recreational marujiana ,1,1,2,2,1,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARITY,POOR,PHONE,BURDEN,AND,SONG,OBSERVE,6,3,3,6,2,2,28,Female,"$30,000 to $34,999",4-year college degree,White,Independent,Moderately liberal,Moderately liberal
R_AnvQjwJ5XY3pxQd,6/20/17 10:32,6/20/17 10:41,security,social security for all,5,its for people who worked for it,its a reward,people work torwards it,they deserve it,its a nice thing to have in the end,1,1,1,1,1,homefron,welcome,nordy,lazy,plaza,sun,bake,chariot,door,phone,buried,and,song,deserve,5,1,2,4,2,2,32,Male,"$35,000 to $39,999",Some college (no degree),White,Republican,Slightly conservative,Strongly conservative
R_7PP74SVv7OW3wpX,6/20/17 10:29,6/20/17 10:41,freedom,financial freedom,3,higher taxes,more government control over our lives,financial freedom to do more things you want,dependence on government to provide,collapse of government and in turn society,2,2,1,2,2,HOMESICK,WELCOME,NERDY,COZY,PLANT,SUN,BAKE,CHARTER,DOOR,PHONE,BURROW,AND,SONG,DESERVE,3,5,6,6,6,2,33,Female,"$75,000 to $84,999",4-year college degree,White,Independent,Slightly conservative,Slightly       liberal
R_3CVPJnbD4rVPD1v,6/20/17 10:30,6/20/17 10:41,security,social security for all,3,too expensive,encourages lazyness,less for the truely needy,higher wages is better idea,,2,2,2,2,,HOMELESS,WELCOME,NEEDY,LAZY,PLACE,SUN,BAKE,CHARTER,DOOR,PHOTO,BURNER,AID,SONG,OBSERVE,5,3,7,3,6,2,30,Female,"$50,000 to $59,999",Some college (no degree),White,Democrat,Strongly liberal,Strongly liberal
